Date,XDV,XCG,XIU,XMD,XCV,XCS,XMV,XIC,XIN,XSP
2017-04-07,0,0,-0.001290093,-0.000395462,0,0,-0.000343301,-0.002012978,0.005693273,-0.000741329
2017-04-10,0.00039768,0.002324521,0.003436417,0.004739151,0.001535981,0.00810631,0.002742675,0.004423689,-0.002029524,0
2017-04-11,-0.002388086,0.000994468,-0.002146324,0.001968044,0,0.005177217,-0.001027667,-0.000802796,0,-0.000741879
2017-04-12,-0.004792551,-0.002986267,-0.005170389,-0.003545418,-0.004229855,-0.005753817,0,-0.00402455,-0.005705066,-0.003717311
2017-04-13,-0.010866415,-0.001996248,-0.006935259,-0.006731463,-0.008902682,-0.0127764,-0.004809189,-0.007690837,-0.004916152,-0.006726432
2017-04-17,0.008462059,0.007960072,0.0112457,0.002777336,0.008902682,-0.001169049,0.006521381,0.009302543,0.004507427,0.008214919
2017-04-18,-0.004424066,-0.000991582,-0.005174426,0.001583755,-0.00502225,-0.003517287,-0.001026964,-0.003629657,-0.013997835,-0.002233723
2017-04-19,-0.000402863,-0.004307892,-0.004332799,-0.006747584,-0.004269353,-0.012407819,0,-0.004454191,-0.000414461,-0.001865362
2017-04-20,0.002416082,0.002653248,0.005628707,0.001591491,0.003881793,0.004744894,0.00136893,0.004454191,0.008672094,0.007811115
2017-04-21,-0.000968122,0.007589587,0.000431948,0.00039774,0.00038756,-0.008318178,-0.001026492,0.000403838,0.000822181,-0.003712031
2017-04-24,0.009246025,0.006226389,0.009022323,0.000794503,0.010786018,-0.002389702,0.00987929,0.006842639,0.020736704,0.010726924
2017-04-25,0.005984003,0,0.00213655,-0.001987604,0.001531134,-0.003595199,0.001354939,0.001202722,0.006817718,0.005869454
2017-04-26,-0.015230028,-0.001307595,-0.005993356,-0.002789372,-0.003448796,-0.001801952,-0.002372339,-0.005625022,-0.00079959,0
2017-04-27,-0.006483816,0,-0.010792263,-0.003597859,-0.014304991,-0.010275303,-0.006809678,-0.008497063,0.001997895,0.000731142
2017-04-28,0.000406459,0.00619611,0.005194799,0.003198853,0.003498302,0.008469401,0.004431458,0.004864574,-0.001997895,-0.001828997
2017-05-01,-0.000406459,0.000649813,-0.001728603,0.002790347,0,-0.003016595,-0.000340105,-0.000809161,0.005186389,0.002194545
2017-05-02,-0.000812443,0.008733738,0.00302315,0.002385636,0.000775833,-0.00363175,0.006105576,0.002021312,0.003971386,0.000365257
2017-05-03,-0.00326061,-0.00581389,-0.003888573,-0.007174095,-0.003495779,-0.004863155,0,-0.003641357,0.001584261,-0.001461947
2017-05-04,-0.008196597,-0.00356966,-0.008258879,-0.0128825,-0.009775257,-0.019693155,-0.010538945,-0.009366748,0.004737313,0.00109669
2017-05-05,0.006153561,0.010027437,0.01257863,0.009677424,0.010553105,0.011739429,0.007490678,0.011391138,0.009408196,0.004010978
2017-05-08,0.004488544,0.00321344,0.003871739,0.003205077,0.006201532,0.007343797,0.003048267,0.004037305,-0.001952732,0
2017-05-09,-0.004897501,-0.006114359,-0.005597464,-0.003205077,-0.008147554,-0.003664899,-0.005765471,-0.004846404,0.00273286,-0.001092219
2017-05-10,0.001226693,0.007716952,0.003448372,0.006798626,0.004663954,0.015183699,0.00033987,0.003637088,0.0019475,0.001819873
2017-05-11,-0.00861906,0.00032033,-0.005176975,-0.003993882,-0.008176054,-0.003623423,-0.007851207,-0.00485238,-0.0019475,-0.002184238
2017-05-12,-0.004958981,-0.001602079,0,-0.001200991,0,-0.001816264,0,-0.000405654,0.001168798,-0.001823856
2017-05-15,0.005370917,0.006075013,0.006037187,0.005593289,0.007012201,0.006042317,0.004104067,0.00606478,0.003498634,0.00509825
2017-05-16,-0.004956714,-0.002553387,-0.006902611,0,0,0.001805902,-0.003761274,-0.004848751,0.000388044,-0.000726626
2017-05-17,-0.015439254,-0.018384774,-0.018790087,-0.013234547,-0.020393116,-0.014537313,-0.015188469,-0.017569523,-0.018794656,-0.017602148
2017-05-18,0.003777952,-0.008499544,0.001322402,-0.003639919,-0.009154165,-0.007963021,-0.004881334,0.000412142,0.004731942,0.005165897
2017-05-19,0.009174003,0.017572937,0.011388448,0.011281177,0.017440099,0.013439372,0.013194497,0.010655967,0.004709517,0.005139544
2017-05-23,0.007032077,0,0.002175485,-0.000400421,0.003921518,-0.005476352,0.002067769,0.002442759,0.003907664,0.007296707
2017-05-24,-0.006804212,-0.002907337,-0.004517098,-0.002809755,-0.005494638,-0.005506249,-0.004831247,-0.004483141,-0.000390071,0.002178725
2017-05-25,-0.000833482,0,0.000878541,-0.004834715,0.00039361,-0.007389017,0.003797796,0.000408193,0.001559417,0.004342989
2017-05-26,-0.000416313,0,0.000439061,0.002420094,-0.00315185,-0.000618473,-0.000344519,-0.000408193,-0.002730497,0.000361114
2017-05-29,0.001249795,0.002907337,0.000877545,0.001208271,0.001970603,0.004935484,0,0.000816662,0.00117108,0.005041646
2017-05-30,-0.001249795,-0.000645447,-0.002634787,-0.006459711,-0.003155334,-0.015504322,0.000344519,-0.002861314,-0.003126195,-0.005763928
2017-05-31,-0.002503954,0.002578834,-0.001320455,-0.004058203,-0.006739573,-0.005640776,0.000689005,-0.001228583,-0.000391399,-0.000361414
2017-06-01,0.005832745,0.001287121,0.007895274,0.011322325,0.006344351,0.005015804,0.006521381,0.008163087,0.009353197,0.006843126
2017-06-02,-0.000415541,0.010555179,-0.002187143,-0.0016097,-0.003167268,-0.003131788,0.001367686,-0.002034816,0.004643859,0.003940726
2017-06-05,-0.002496937,-0.002867784,-0.002191458,-0.0008058,0.000792647,-0.003771258,-0.004108281,-0.001630514,-0.004256241,-0.000715268
2017-06-06,-0.002503021,0.000638175,0.002191458,0.007628939,-0.002777041,0.015620504,0.001028403,0.003258619,-0.006223222,-0.002866392
2017-06-07,-0.00208991,-0.002554517,-0.005708131,-0.00400778,-0.001590336,-0.01059571,-0.001715008,-0.005300569,0.000780128,0.001434127
2017-06-08,0.005426413,-0.001599727,0.003516673,0.000401502,0.002781554,0.001878252,0,0.002450135,0.000389767,0.001074382
2017-06-09,0.011589371,-0.001281654,0.004378601,0.000802243,0.004750684,0,0.004111057,0.003257144,0.000389523,-0.00143274
